equipment,manufacturer,area_m2,capacity_kw
Cooling tower (wet),BAC,28.98,3174.0
Cooling tower (wet),BAC,23.73,3192.0
Cooling tower (wet),BAC,31.32,3200.0
Cooling tower (wet),BAC,23.73,3266.0
Cooling tower (wet),BAC,31.35,3279.0
Cooling tower (wet),BAC,34.99,3301.0
Cooling tower (wet),BAC,31.32,3314.0
Cooling tower (wet),BAC,23.73,3319.0
Cooling tower (wet),BAC,23.73,3323.0
Cooling tower (wet),BAC,31.99,3363.0
Cooling tower (wet),BAC,37.01,3367.0
Cooling tower (wet),BAC,23.73,3376.0
Cooling tower (wet),BAC,31.32,3389.0
Cooling tower (wet),BAC,37.98,3398.0
Cooling tower (wet),BAC,28.98,3407.0
Cooling tower (wet),BAC,31.32,3437.0
Cooling tower (wet),BAC,23.73,3508.0
Cooling tower (wet),BAC,28.98,3512.0
Cooling tower (wet),BAC,31.99,3521.0
Cooling tower (wet),BAC,40.97,3521.0
Cooling tower (wet),BAC,34.99,3530.0
Cooling tower (wet),BAC,31.32,3547.0
Cooling tower (wet),BAC,23.73,3556.0
Cooling tower (wet),BAC,23.73,3565.0
Cooling tower (wet),BAC,28.98,3569.0
Cooling tower (wet),BAC,31.32,3587.0
Cooling tower (wet),BAC,37.01,3613.0
Cooling tower (wet),BAC,37.98,3635.0
Cooling tower (wet),BAC,31.32,3679.0
Cooling tower (wet),BAC,23.73,3683.0
Cooling tower (wet),BAC,34.99,3696.0
Cooling tower (wet),BAC,37.01,3736.0
Cooling tower (wet),BAC,39.76,3749.0
Cooling tower (wet),BAC,31.32,3749.0
Cooling tower (wet),BAC,23.73,3758.0
Cooling tower (wet),BAC,40.97,3767.0
Cooling tower (wet),BAC,28.98,3767.0
Cooling tower (wet),BAC,37.98,3811.0
Cooling tower (wet),BAC,23.73,3815.0
Cooling tower (wet),BAC,23.73,3828.0
Cooling tower (wet),BAC,37.01,3828.0
Cooling tower (wet),BAC,31.32,3837.0
Cooling tower (wet),BAC,47.96,3850.0
Cooling tower (wet),BAC,31.32,3885.0
Cooling tower (wet),BAC,23.73,3938.0
Cooling tower (wet),BAC,40.97,3942.0
Cooling tower (wet),BAC,28.98,3964.0
Cooling tower (wet),BAC,37.01,4008.0
Cooling tower (wet),BAC,23.73,4021.0
Cooling tower (wet),BAC,23.73,4026.0
Cooling tower (wet),BAC,34.99,4030.0
Cooling tower (wet),BAC,31.32,4056.0
Cooling tower (wet),BAC,31.32,4087.0
Cooling tower (wet),BAC,39.76,4091.0
Cooling tower (wet),BAC,23.73,4096.0
Cooling tower (wet),BAC,47.96,4135.0
Cooling tower (wet),BAC,23.73,4157.0
Cooling tower (wet),BAC,37.98,4197.0
Cooling tower (wet),BAC,31.32,4236.0
Cooling tower (wet),BAC,28.98,4250.0
Cooling tower (wet),BAC,37.01,4250.0
Cooling tower (wet),BAC,49.56,4302.0
Cooling tower (wet),BAC,23.73,4307.0
Cooling tower (wet),BAC,23.73,4324.0
Cooling tower (wet),BAC,40.97,4346.0
Cooling tower (wet),BAC,31.32,4368.0
Cooling tower (wet),BAC,47.96,4386.0
Cooling tower (wet),BAC,39.76,4399.0
Cooling tower (wet),BAC,31.32,4421.0
Cooling tower (wet),BAC,23.73,4447.0
Cooling tower (wet),BAC,31.32,4526.0
Cooling tower (wet),BAC,47.96,4592.0
Cooling tower (wet),BAC,31.32,4610.0
Cooling tower (wet),BAC,23.73,4636.0
Cooling tower (wet),BAC,37.01,4653.0
Cooling tower (wet),BAC,49.56,4697.0
Cooling tower (wet),BAC,31.32,4719.0
Cooling tower (wet),BAC,31.32,4776.0
Cooling tower (wet),BAC,47.96,4869.0
Cooling tower (wet),BAC,31.32,4921.0
Cooling tower (wet),BAC,54.04,4926.0
Cooling tower (wet),BAC,31.32,4978.0
Cooling tower (wet),BAC,49.56,5022.0
Cooling tower (wet),BAC,23.73,5035.0
Cooling tower (wet),BAC,31.32,5097.0
Cooling tower (wet),BAC,58.52,5128.0
Cooling tower (wet),BAC,54.04,5268.0
Cooling tower (wet),BAC,31.32,5299.0
Cooling tower (wet),BAC,63.0,5312.0
Cooling tower (wet),BAC,49.56,5321.0
Cooling tower (wet),BAC,31.32,5334.0
Cooling tower (wet),BAC,47.96,5334.0
Cooling tower (wet),BAC,63.02,5448.0
Cooling tower (wet),BAC,58.52,5488.0
Cooling tower (wet),BAC,31.32,5488.0
Cooling tower (wet),BAC,54.04,5523.0
Cooling tower (wet),BAC,63.0,5681.0
Cooling tower (wet),BAC,47.96,5720.0
Cooling tower (wet),BAC,31.32,5720.0
Cooling tower (wet),BAC,58.52,5751.0
Cooling tower (wet),BAC,63.0,5953.0
Cooling tower (wet),BAC,63.02,5970.0
Cooling tower (wet),BAC,31.32,6032.0
Cooling tower (wet),BAC,47.96,6058.0
Cooling tower (wet),BAC,54.04,6093.0
Cooling tower (wet),BAC,31.32,6120.0
Cooling tower (wet),BAC,58.52,6339.0
Cooling tower (wet),BAC,63.02,6405.0
Cooling tower (wet),BAC,63.0,6559.0
Cooling tower (wet),BAC,47.96,6646.0
Cooling tower (wet),BAC,63.02,6783.0
Cooling tower (wet),BAC,47.96,7116.0
Cooling tower (wet),BAC,47.96,7129.0
Cooling tower (wet),BAC,47.96,7366.0
Cooling tower (wet),BAC,47.96,7516.0
Cooling tower (wet),BAC,47.96,7625.0
Cooling tower (wet),BAC,47.96,7656.0
Cooling tower (wet),BAC,47.96,7876.0
Cooling tower (wet),BAC,47.96,8042.0
Cooling tower (wet),BAC,47.96,8056.0
Cooling tower (wet),BAC,47.96,8192.0
Cooling tower (wet),BAC,47.96,8319.0
Cooling tower (wet),BAC,47.96,8609.0
Cooling tower (wet),BAC,47.96,8648.0
Cooling tower (wet),BAC,63.02,8732.0
Cooling tower (wet),BAC,47.96,8890.0
Cooling tower (wet),BAC,63.02,9052.0
Cooling tower (wet),BAC,63.02,9215.0
Cooling tower (wet),BAC,47.96,9272.0
Cooling tower (wet),BAC,63.02,9439.0
Cooling tower (wet),BAC,63.02,9548.0
Cooling tower (wet),BAC,63.02,9842.0
Cooling tower (wet),BAC,63.02,9957.0
Cooling tower (wet),BAC,47.96,10071.0
Cooling tower (wet),BAC,63.02,10194.0
Cooling tower (wet),BAC,63.02,10597.0
Cooling tower (wet),BAC,63.02,10672.0
Cooling tower (wet),BAC,63.02,10975.0
Cooling tower (wet),BAC,63.02,11436.0
Cooling tower (wet),BAC,63.02,12064.0
Cooling tower (wet),BAC,63.02,12235.0
Cooling tower (wet),Vertiv,21.88,400.0
Cooling tower (wet),Vertiv,26.71,400.0
Cooling tower (wet),BAC,7.9,404.0
Cooling tower (wet),BAC,8.95,443.0
Cooling tower (wet),BAC,7.9,443.0
Cooling tower (wet),SPX Cooling Technologies,7.77,444.0
Cooling tower (wet),BAC,8.95,487.0
Cooling tower (wet),BAC,7.9,514.0
Cooling tower (wet),SPX Cooling Technologies,7.77,514.4
Cooling tower (wet),SPX Cooling Technologies,5.61,531.9
Cooling tower (wet),BAC,8.95,562.0
Cooling tower (wet),BAC,11.32,575.0
Cooling tower (wet),BAC,12.37,601.0
Cooling tower (wet),BAC,7.9,606.0
Cooling tower (wet),SPX Cooling Technologies,5.61,611.0
Cooling tower (wet),SPX Cooling Technologies,7.77,611.1
Cooling tower (wet),BAC,8.95,659.0
Cooling tower (wet),BAC,11.32,663.0
Cooling tower (wet),SPX Cooling Technologies,5.61,677.0
Cooling tower (wet),SPX Cooling Technologies,11.05,712.3
Cooling tower (wet),BAC,7.9,694.0
Cooling tower (wet),BAC,12.37,694.0
Cooling tower (wet),SPX Cooling Technologies,7.77,699.0
Cooling tower (wet),BAC,12.63,733.0
Cooling tower (wet),BAC,14.28,751.0
Cooling tower (wet),BAC,7.9,759.0
Cooling tower (wet),BAC,8.95,764.0
Cooling tower (wet),SPX Cooling Technologies,5.61,764.9
Cooling tower (wet),SPX Cooling Technologies,7.77,769.4
Cooling tower (wet),BAC,11.32,781.0
Cooling tower (wet),SPX Cooling Technologies,9.73,800.1
Cooling tower (wet),BAC,12.63,803.0
Cooling tower (wet),BAC,12.37,817.0
Cooling tower (wet),SPX Cooling Technologies,11.05,846.3
Cooling tower (wet),BAC,8.95,830.0
Cooling tower (wet),BAC,14.28,852.0
Cooling tower (wet),BAC,15.89,856.0
Cooling tower (wet),SPX Cooling Technologies,14.17,901.3
Cooling tower (wet),BAC,12.63,865.0
Cooling tower (wet),BAC,7.9,869.0
Cooling tower (wet),SPX Cooling Technologies,7.77,870.5
Cooling tower (wet),SPX Cooling Technologies,9.73,879.3
Cooling tower (wet),Aggreko,14.88,879.3
Cooling tower (wet),BAC,14.28,891.0
Cooling tower (wet),BAC,11.32,896.0
Cooling tower (wet),BAC,17.37,896.0
Cooling tower (wet),BAC,18.35,904.0
Cooling tower (wet),BAC,12.63,913.0
Cooling tower (wet),BAC,18.86,926.0
Cooling tower (wet),SPX Cooling Technologies,11.05,967.1
Cooling tower (wet),BAC,12.37,935.0
Cooling tower (wet),BAC,15.89,935.0
Cooling tower (wet),BAC,14.28,948.0
Cooling tower (wet),BAC,8.95,953.0
Cooling tower (wet),SPX Cooling Technologies,9.73,967.1
Cooling tower (wet),BAC,11.32,979.0
Cooling tower (wet),BAC,17.37,983.0
Cooling tower (wet),BAC,12.63,992.0
Cooling tower (wet),SPX Cooling Technologies,11.05,1072.6
Cooling tower (wet),SPX Cooling Technologies,14.17,1083.6
Cooling tower (wet),SPX Cooling Technologies,18.31,1072.6
Cooling tower (wet),SPX Cooling Technologies,11.6,1068.3
Cooling tower (wet),SPX Cooling Technologies,9.73,1094.6
Cooling tower (wet),SPX Cooling Technologies,11.05,1204.6
Cooling tower (wet),SPX Cooling Technologies,14.17,1231.0
Cooling tower (wet),SPX Cooling Technologies,18.31,1257.4
Cooling tower (wet),SPX Cooling Technologies,11.6,1257.3
Cooling tower (wet),SPX Cooling Technologies,11.05,1310.1
Cooling tower (wet),SPX Cooling Technologies,14.17,1356.3
Cooling tower (wet),Aggreko,14.88,1318.9
Cooling tower (wet),SPX Cooling Technologies,15.74,1336.4
Cooling tower (wet),Delta Cooling Towers,16.19,1998.1
Cooling tower (wet),SPX Cooling Technologies,11.6,1393.5
Cooling tower (wet),SPX Cooling Technologies,18.31,1428.8
Cooling tower (wet),SPX Cooling Technologies,23.21,1428.8
Cooling tower (wet),SPX Cooling Technologies,14.17,1521.1
Cooling tower (wet),SPX Cooling Technologies,15.74,1481.5
Cooling tower (wet),Evapco,19.6,1503.5
Cooling tower (wet),SPX Cooling Technologies,18.31,1589.3
Cooling tower (wet),SPX Cooling Technologies,19.23,1560.6
Cooling tower (wet),SPX Cooling Technologies,23.21,1637.6
Cooling tower (wet),SPX Cooling Technologies,14.17,1688.1
Cooling tower (wet),SPX Cooling Technologies,15.74,1635.4
Cooling tower (wet),SPX Cooling Technologies,19.23,1710.1
Cooling tower (wet),SPX Cooling Technologies,14.17,1787.1
Cooling tower (wet),Aggreko,14.88,1758.8
Cooling tower (wet),SPX Cooling Technologies,23.21,1800.3
Cooling tower (wet),SPX Cooling Technologies,18.31,1809.0
Cooling tower (wet),SPX Cooling Technologies,19.23,1824.4
Cooling tower (wet),SPX Cooling Technologies,28.94,1855.3
Cooling tower (wet),SPX Cooling Technologies,14.17,1899.1
Cooling tower (wet),SPX Cooling Technologies,19.23,1921.1
Cooling tower (wet),SPX Cooling Technologies,18.31,1984.9
Cooling tower (wet),SPX Cooling Technologies,21.11,1965.0
Cooling tower (wet),SPX Cooling Technologies,14.17,2044.3
Cooling tower (wet),SPX Cooling Technologies,23.21,2053.0
Cooling tower (wet),SPX Cooling Technologies,28.94,2046.5
Cooling tower (wet),SPX Cooling Technologies,18.31,2110.3
Cooling tower (wet),SPX Cooling Technologies,21.11,2158.5
Cooling tower (wet),SPX Cooling Technologies,18.31,2206.9
Cooling tower (wet),SPX Cooling Technologies,23.21,2226.8
Cooling tower (wet),SPX Cooling Technologies,24.77,2242.1
Cooling tower (wet),Aggreko,29.74,2198.1
Cooling tower (wet),Aggreko,14.88,2198.8
Cooling tower (wet),SPX Cooling Technologies,21.11,2303.5
Cooling tower (wet),SPX Cooling Technologies,28.94,2334.4
Cooling tower (wet),SPX Cooling Technologies,23.21,2391.5
Cooling tower (wet),SPX Cooling Technologies,18.31,2404.8
Cooling tower (wet),SPX Cooling Technologies,24.77,2464.1
Cooling tower (wet),SPX Cooling Technologies,21.11,2426.6
Cooling tower (wet),SPX Cooling Technologies,23.21,2521.3
Cooling tower (wet),SPX Cooling Technologies,18.31,2543.3
Cooling tower (wet),SPX Cooling Technologies,24.77,2547.6
Cooling tower (wet),SPX Cooling Technologies,28.94,2563.0
Cooling tower (wet),SPX Cooling Technologies,23.56,2532.1
Cooling tower (wet),Aggreko,29.74,2637.8
Cooling tower (wet),SPX Cooling Technologies,24.77,2749.9
Cooling tower (wet),Delta Cooling Towers,32.56,3904.4
Cooling tower (wet),SPX Cooling Technologies,23.21,2749.9
Cooling tower (wet),SPX Cooling Technologies,23.56,2699.1
Cooling tower (wet),SPX Cooling Technologies,24.77,2782.9
Cooling tower (wet),SPX Cooling Technologies,28.94,2749.9
Cooling tower (wet),SPX Cooling Technologies,24.77,2800.4
Cooling tower (wet),SPX Cooling Technologies,26.1,2800.3
Cooling tower (wet),SPX Cooling Technologies,23.56,2839.9
Cooling tower (wet),SPX Cooling Technologies,28.94,2890.5
Cooling tower (wet),Evapco,19.6,2892.6
Cooling tower (wet),SPX Cooling Technologies,23.21,2947.6
Cooling tower (wet),SPX Cooling Technologies,24.77,2998.3
Cooling tower (wet),SPX Cooling Technologies,24.77,3037.8
Cooling tower (wet),SPX Cooling Technologies,26.1,2989.4
Cooling tower (wet),SPX Cooling Technologies,24.77,3110.4
Cooling tower (wet),SPX Cooling Technologies,23.21,3079.6
Cooling tower (wet),Aggreko,29.74,3077.4
Cooling tower (wet),SPX Cooling Technologies,28.94,3158.8
Cooling tower (wet),SPX Cooling Technologies,24.77,3169.8
Cooling tower (wet),SPX Cooling Technologies,28.94,3138.9
Cooling tower (wet),SPX Cooling Technologies,26.1,3152.0
Cooling tower (wet),SPX Cooling Technologies,24.77,3248.9
Cooling tower (wet),SPX Cooling Technologies,24.77,3356.5
