organization,system,chip,accelerator,vendor,generation,generation_order,workload,scenario,accelerators,result,per_accelerator,availability
HPE,HPE ProLiant Compute DL380a Gen12 (8x NVIDIA RTX PRO 6000 Blackwell Server Edition TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama2-70b-99.9,Offline,8,29900.1,3737.51,available
HPE,HPE ProLiant Compute DL380a Gen12 (10x NVIDIA RTX PRO 6000 Blackwell Server Edition TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama2-70b-99.9,Offline,10,36704.2,3670.42,available
MangoBoost,MangoBoost Mi300X (8x MI300X LLMBoost),AMD Instinct MI300X 192GB HBM3,AMD Instinct MI300X 192GB HBM3,AMD,MI300X,1,llama2-70b-99.9,Offline,8,27598.7,3449.84,available
HPE,HPE ProLiant DL385 Gen11 (2x NVIDIA RTX PRO 6000 Blackwell Server Edition-600W TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama2-70b-99.9,Offline,2,6893.36,3446.68,available
Dell,PowerEdge XE9680 (8x MI300X),AMD Instinct MI300X 192GB HBM3,AMD Instinct MI300X 192GB HBM3,AMD,MI300X,1,llama2-70b-99.9,Offline,8,27072.5,3384.06,available
Dell,PowerEdge XE7740 (8x RTXPro6000-PCIe-96GB TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama2-70b-99.9,Offline,8,27034.8,3379.35,available
Lenovo,ThinkSystem SR675i V3 (8x NVIDIA RTX PRO 6000 Blackwell Server Edition TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama2-70b-99.9,Offline,8,26889.6,3361.2,available
Dell,PowerEdge XE7745 (8x RTXPro6000-PCIe-96GB TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama2-70b-99.9,Offline,8,26829.8,3353.72,available
HPE,HPE ProLiant DL385 Gen11 (4x NVIDIA RTX PRO 6000 Blackwell Server Edition-450W TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama2-70b-99.9,Offline,4,13200.3,3300.07,available
Intel,1-node-4x-BMG-Pro-B60-Dual,MS-Intel Arc Pro B60 Dual 48G Turbo,MS-Intel Arc Pro B60 Dual 48G Turbo,,,-1,llama2-70b-99.9,Offline,4,3270.66,817.665,available
