organization,system,chip,accelerator,vendor,generation,generation_order,workload,scenario,accelerators,result,per_accelerator,availability
NVIDIA,NVIDIA GB300 NVL72 (72x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,deepseek-r1,Interactive,72,250634,3481.03,available
NVIDIA,NVIDIA GB200 NVL72 (72x GB200-186GB_aarch64 TensorRT),NVIDIA GB200,NVIDIA GB200,NVIDIA,GB200,3,deepseek-r1,Interactive,72,240318,3337.75,available
GigaComputing,G894-SD3-AAX7,NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Interactive,8,4934.65,616.831,available
CoreWeave,CoreWeave GB300 NVL72 (8x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,deepseek-r1,Offline,8,78564,9820.5,available
Nebius,Nebius GB300 NVL72 (4x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,deepseek-r1,Offline,8,76346.6,9543.33,available
Nebius,Nebius GB300 NVL72 (72x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,deepseek-r1,Offline,72,673936,9360.22,available
NVIDIA,NVIDIA GB300 NVL72 (72x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,deepseek-r1,Offline,72,647076,8987.17,available
NVIDIA,NVIDIA DGX B300 (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Offline,8,70325.7,8790.71,available
GigaComputing,G894-SD3-AAX7,NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Offline,8,69617.4,8702.17,available
Nebius,Nebius B300 n1 (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Offline,8,69318.9,8664.86,available
NVIDIA,NVIDIA GB300 NVL72 (72x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,deepseek-r1,Offline,288,2.49431e+06,8660.8,available
Quanta_Cloud_Technology,QuantaGrid D75H-10U (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Offline,8,69263.2,8657.9,available
Cisco,Cisco UCS C880A M8 (8x NVIDIA B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Offline,8,69251.4,8656.42,available
Dell,PowerEdge XE9780 (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Offline,8,69021.2,8627.65,available
Dell,PowerEdge XE9780L (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Offline,8,66287.9,8285.99,available
CoreWeave,CoreWeave GB200 NVL72 (64x GB200-186GB_aarch64 TensorRT),NVIDIA GB200,NVIDIA GB200,NVIDIA,GB200,3,deepseek-r1,Offline,64,468665,7322.89,available
Nebius,Nebius B200 n1 (8x B200-SXM-180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,deepseek-r1,Offline,8,58581.6,7322.7,available
Dell,PowerEdge XE9780 (8x B200-SXM-180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,deepseek-r1,Offline,8,58235.4,7279.43,available
Google,NVIDIA DGX B200 (8x B200-SXM-180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,deepseek-r1,Offline,8,57116.9,7139.61,available
NVIDIA,NVIDIA GB200 NVL72 (72x GB200-186GB_aarch64 TensorRT),NVIDIA GB200,NVIDIA GB200,NVIDIA,GB200,3,deepseek-r1,Offline,72,486141,6751.96,available
Google,NVIDIA GB200 NVL72 (72x GB200-186GB_aarch64 TensorRT),NVIDIA GB200,NVIDIA GB200,NVIDIA,GB200,3,deepseek-r1,Offline,72,307874,4276.03,available
Nebius,Nebius GB300 NVL72 (4x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,deepseek-r1,Server,8,64510,8063.75,available
Nebius,Nebius GB300 NVL72 (72x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,deepseek-r1,Server,72,575580,7994.17,available
Nebius,Nebius B300 n1 (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Server,8,60413.4,7551.68,available
Cisco,Cisco UCS C880A M8 (8x NVIDIA B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Server,8,58553.3,7319.16,available
Nebius,Nebius B200 n1 (8x B200-SXM-180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,deepseek-r1,Server,8,51692.9,6461.61,available
Dell,PowerEdge XE9780 (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Server,8,46513.1,5814.14,available
Dell,PowerEdge XE9780L (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Server,8,46510.6,5813.82,available
CoreWeave,CoreWeave GB300 NVL72 (8x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,deepseek-r1,Server,8,44589.7,5573.71,available
NVIDIA,NVIDIA GB300 NVL72 (72x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,deepseek-r1,Server,72,400437,5561.62,available
NVIDIA,NVIDIA GB300 NVL72 (72x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,deepseek-r1,Server,288,1.55511e+06,5399.69,available
NVIDIA,NVIDIA DGX B300 (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Server,8,42721.4,5340.18,available
Google,NVIDIA DGX B200 (8x B200-SXM-180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,deepseek-r1,Server,8,41027.9,5128.49,available
Dell,PowerEdge XE9780 (8x B200-SXM-180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,deepseek-r1,Server,8,40949.5,5118.69,available
CoreWeave,CoreWeave GB200 NVL72 (64x GB200-186GB_aarch64 TensorRT),NVIDIA GB200,NVIDIA GB200,NVIDIA,GB200,3,deepseek-r1,Server,64,311531,4867.67,available
NVIDIA,NVIDIA GB200 NVL72 (72x GB200-186GB_aarch64 TensorRT),NVIDIA GB200,NVIDIA GB200,NVIDIA,GB200,3,deepseek-r1,Server,72,336106,4668.14,available
GigaComputing,G894-SD3-AAX7,NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Server,8,35552.6,4444.07,available
Quanta_Cloud_Technology,QuantaGrid D75H-10U (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Server,8,35435.7,4429.46,available
Google,NVIDIA GB200 NVL72 (72x GB200-186GB_aarch64 TensorRT),NVIDIA GB200,NVIDIA GB200,NVIDIA,GB200,3,deepseek-r1,Server,72,156781,2177.51,available
NVIDIA,NVIDIA GB300 NVL72 (72x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,gpt-oss-120b,Interactive,72,677199,9405.54,available
NVIDIA,NVIDIA GB200 NVL72 (72x GB200-186GB_aarch64 TensorRT),NVIDIA GB200,NVIDIA GB200,NVIDIA,GB200,3,gpt-oss-120b,Interactive,72,624929,8679.57,available
ASUSTeK,XA NB3I-E12,NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,gpt-oss-120b,Interactive,8,26005.8,3250.72,available
Nebius,Nebius B200 n1 (8x B200-SXM-180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,gpt-oss-120b,Interactive,8,13155.3,1644.41,available
Nebius,Nebius GB300 NVL72 (4x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,gpt-oss-120b,Offline,1,15371.7,15371.7,available
Lambda_SIT,NVIDIA GB300 NVL72 (4x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,gpt-oss-120b,Offline,4,60220.4,15055.1,available
Nebius,Nebius GB300 NVL72 (72x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,gpt-oss-120b,Offline,72,1.04615e+06,14529.9,available
NVIDIA,NVIDIA GB300 NVL72 (72x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,gpt-oss-120b,Offline,72,1.04298e+06,14485.8,available
CoreWeave,CoreWeave GB300 NVL72 (64x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,gpt-oss-120b,Offline,64,910468,14226.1,available
Cisco,Cisco UCS C880A M8 (8x NVIDIA B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,gpt-oss-120b,Offline,8,111496,13937,available
ASUSTeK,XA NB3I-E12,NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,gpt-oss-120b,Offline,8,110077,13759.6,available
Lenovo,ThinkSystem SR680a V4 (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,gpt-oss-120b,Offline,8,109141,13642.6,available
GigaComputing,G894-SD3-AAX7,NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,gpt-oss-120b,Offline,8,107696,13462,available
Nebius,Nebius B300 n1 (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,gpt-oss-120b,Offline,8,106885,13360.6,available
NVIDIA,NVIDIA DGX B300 (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,gpt-oss-120b,Offline,8,103961,12995.1,available
NVIDIA,NVIDIA GB200 NVL72 (72x GB200-186GB_aarch64 TensorRT),NVIDIA GB200,NVIDIA GB200,NVIDIA,GB200,3,gpt-oss-120b,Offline,72,879542,12215.9,available
CoreWeave,CoreWeave GB200 NVL72 (64x GB200-186GB_aarch64 TensorRT),NVIDIA GB200,NVIDIA GB200,NVIDIA,GB200,3,gpt-oss-120b,Offline,64,774539,12102.2,available
AMD,smci355-ccs-aus-m09-17 (AS -4126GS-NMR-LCC),AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,gpt-oss-120b,Offline,8,95004,11875.5,available
RedHat,LLM-D v0.5.0 Openshift 4.20.12 NVIDIA 8xB200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,gpt-oss-120b,Offline,8,93070.7,11633.8,available
GigaComputing,G893-ZX1-AAX4,AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,gpt-oss-120b,Offline,8,92332.2,11541.5,available
HPE,HPE ProLiant Compute XD685 (8x AMD Instinct MI355X 288GB vLLM),AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,gpt-oss-120b,Offline,8,91846.6,11480.8,available
ORACLE,BM.GPU.MI355X.8,AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,gpt-oss-120b,Offline,8,91706.3,11463.3,available
Dell,PowerEdge XE9785L (8x MI355X),AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,gpt-oss-120b,Offline,8,91395.5,11424.4,available
AMD,AMD MI355X Custom Cluster,AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e (x94),AMD,MI355X,4,gpt-oss-120b,Offline,96,1.03107e+06,10740.3,available
Nebius,Nebius B200 n1 (8x B200-SXM-180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,gpt-oss-120b,Offline,8,85921.2,10740.1,available
RedHat,LLM-D v0.5.0 OpenShift 4.21IBM cloud gx3d-160x1792x8h200NVIDIA 8xH200-SXM-141GB,NVIDIA H200-SXM-141GB,NVIDIA H200-SXM-141GB,NVIDIA,H200,1,gpt-oss-120b,Offline,8,28680,3585,available
HPE,HPE ProLiant Compute DL380a Gen12 (10x NVIDIA RTX PRO 6000 Blackwell Server Edition TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,gpt-oss-120b,Offline,10,19040.8,1904.08,available
HPE,HPE ProLiant Compute DL380a Gen12 (8x NVIDIA RTX PRO 6000 Blackwell Server Edition TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,gpt-oss-120b,Offline,8,15189.9,1898.74,available
HPE,HPE ProLiant DL385 Gen11 (4x NVIDIA RTX PRO 6000 Blackwell Server Edition-450W TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,gpt-oss-120b,Offline,4,7297.05,1824.26,available
Intel,1-node-4x-BMG-Pro-B60-Dual,MS-Intel Arc Pro B60 Dual 48G Turbo,MS-Intel Arc Pro B60 Dual 48G Turbo,,,-1,gpt-oss-120b,Offline,4,1601.91,400.478,available
Intel,1-node-4x-BMG-B70,Intel Arc Pro B70,Intel(R) Arc Pro(R) B70,,,-1,gpt-oss-120b,Offline,4,1536.9,384.225,preview
Intel,1-node-4x-BMG-B60,Intel Arc Pro B60,Intel(R) Arc Pro(R) B60,,,-1,gpt-oss-120b,Offline,4,841.038,210.26,available
Nebius,Nebius GB300 NVL72 (72x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,gpt-oss-120b,Server,72,1.09677e+06,15232.9,available
Nebius,Nebius GB300 NVL72 (4x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,gpt-oss-120b,Server,1,14973.1,14973.1,available
CoreWeave,CoreWeave GB300 NVL72 (64x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,gpt-oss-120b,Server,64,956523,14945.7,available
NVIDIA,NVIDIA GB300 NVL72 (72x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,gpt-oss-120b,Server,72,1.07225e+06,14892.4,available
Cisco,Cisco UCS C880A M8 (8x NVIDIA B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,gpt-oss-120b,Server,8,110655,13831.9,available
Lambda_SIT,NVIDIA GB300 NVL72 (4x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,gpt-oss-120b,Server,4,53462.7,13365.7,available
GigaComputing,G894-SD3-AAX7,NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,gpt-oss-120b,Server,8,106397,13299.6,available
Lenovo,ThinkSystem SR680a V4 (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,gpt-oss-120b,Server,8,100687,12585.9,available
ASUSTeK,XA NB3I-E12,NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,gpt-oss-120b,Server,8,100656,12582,available
Nebius,Nebius B300 n1 (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,gpt-oss-120b,Server,8,100437,12554.6,available
NVIDIA,NVIDIA DGX B300 (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,gpt-oss-120b,Server,8,100328,12541,available
NVIDIA,NVIDIA GB200 NVL72 (72x GB200-186GB_aarch64 TensorRT),NVIDIA GB200,NVIDIA GB200,NVIDIA,GB200,3,gpt-oss-120b,Server,72,899218,12489.1,available
CoreWeave,CoreWeave GB200 NVL72 (64x GB200-186GB_aarch64 TensorRT),NVIDIA GB200,NVIDIA GB200,NVIDIA,GB200,3,gpt-oss-120b,Server,64,743550,11618,available
Nebius,Nebius B200 n1 (8x B200-SXM-180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,gpt-oss-120b,Server,8,87444.2,10930.5,available
AMD,smci355-ccs-aus-m09-17 (AS -4126GS-NMR-LCC),AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,gpt-oss-120b,Server,8,82136.1,10267,available
GigaComputing,G893-ZX1-AAX4,AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,gpt-oss-120b,Server,8,80089.6,10011.2,available
Dell,PowerEdge XE9785L (8x MI355X),AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,gpt-oss-120b,Server,8,78603.5,9825.44,available
ORACLE,BM.GPU.MI355X.8,AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,gpt-oss-120b,Server,8,78186.3,9773.29,available
HPE,HPE ProLiant Compute XD685 (8x AMD Instinct MI355X 288GB vLLM),AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,gpt-oss-120b,Server,8,75354.9,9419.36,available
AMD,AMD MI355X Custom Cluster,AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e (x94),AMD,MI355X,4,gpt-oss-120b,Server,96,900054,9375.56,available
RedHat,LLM-D v0.5.0 Openshift 4.20.12 NVIDIA 8xB200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,gpt-oss-120b,Server,8,71588.1,8948.51,available
RedHat,LLM-D v0.5.0 OpenShift 4.21IBM cloud gx3d-160x1792x8h200NVIDIA 8xH200-SXM-141GB,NVIDIA H200-SXM-141GB,NVIDIA H200-SXM-141GB,NVIDIA,H200,1,gpt-oss-120b,Server,8,24103.2,3012.9,available
HPE,HPE ProLiant Compute DL380a Gen12 (8x NVIDIA RTX PRO 6000 Blackwell Server Edition TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,gpt-oss-120b,Server,8,14258.9,1782.36,available
HPE,HPE ProLiant Compute DL380a Gen12 (10x NVIDIA RTX PRO 6000 Blackwell Server Edition TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,gpt-oss-120b,Server,10,17737.6,1773.76,available
HPE,HPE ProLiant DL385 Gen11 (4x NVIDIA RTX PRO 6000 Blackwell Server Edition-450W TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,gpt-oss-120b,Server,4,6687.25,1671.81,available
Intel,1-node-4x-BMG-B70,Intel Arc Pro B70,Intel(R) Arc Pro(R) B70,,,-1,gpt-oss-120b,Server,4,951.674,237.918,preview
Intel,1-node-4x-BMG-Pro-B60-Dual,MS-Intel Arc Pro B60 Dual 48G Turbo,MS-Intel Arc Pro B60 Dual 48G Turbo,,,-1,gpt-oss-120b,Server,4,884.238,221.06,available
Intel,1-node-4x-BMG-B60,Intel Arc Pro B60,Intel(R) Arc Pro(R) B60,,,-1,gpt-oss-120b,Server,4,452.191,113.048,available
NVIDIA,NVIDIA GB300 NVL72 (72x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,llama2-70b-99,Interactive,72,814128,11307.3,available
NVIDIA,NVIDIA GB200 NVL72 (72x GB200-186GB_aarch64 TensorRT),NVIDIA GB200,NVIDIA GB200,NVIDIA,GB200,3,llama2-70b-99,Interactive,72,754855,10484.1,available
AMD,smci355-ccs-aus-m09-17 (AS -4126GS-NMR-LCC),AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99,Interactive,8,73608.2,9201.02,available
GigaComputing,G893-ZX1-AAX4,AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99,Interactive,8,72547.3,9068.41,available
ORACLE,BM.GPU.MI355X.8,AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99,Interactive,8,72116.7,9014.59,available
AMD,AMD MI355X Custom Cluster,AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e (x87),AMD,MI355X,4,llama2-70b-99,Interactive,88,785522,8926.39,available
Supermicro,QuantaGrid D74A-7U,AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99,Interactive,8,71295.5,8911.94,available
HPE,HPE ProLiant Compute XD685 (8x AMD Instinct MI355X 288GB vLLM),AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99,Interactive,8,70954.1,8869.26,available
Dell,PowerEdge XE9780L (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama2-70b-99,Interactive,8,70724.3,8840.54,available
Dell,PowerEdge XE9785L (8x MI355X),AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99,Interactive,8,70610.8,8826.35,available
GigaComputing,G894-SD3-AAX7,NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama2-70b-99,Interactive,8,65464.8,8183.1,available
HPE,HPE ProLiant Compute XD685 (8x NVIDIA B200 180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,llama2-70b-99,Interactive,8,61644.7,7705.59,available
MiTAC,G8825Z5,AMD Instinct MI350X 288GB HBM3e,AMD Instinct MI350X 288GB HBM3e,AMD,MI350X,3,llama2-70b-99,Interactive,8,54730.5,6841.31,available
Cisco,Cisco UCS  16xMI350X,AMD Instinct MI350X 288GB HBM3e,AMD Instinct MI350X 288GB HBM3e,AMD,MI350X,3,llama2-70b-99,Interactive,16,103633,6477.06,available
Cisco,Cisco UCS  8xMI350X,AMD Instinct MI350X 288GB HBM3e,AMD Instinct MI350X 288GB HBM3e,AMD,MI350X,3,llama2-70b-99,Interactive,8,51616.6,6452.07,available
Dell,PowerEdge XE7740 (8x H200-NVL-141GB TensorRT),NVIDIA H200-NVL-141GB,NVIDIA H200-NVL-141GB,NVIDIA,H200,1,llama2-70b-99,Interactive,8,16343.8,2042.97,available
ASUSTeK,ESC8000_E12P_RTX_PRO_6000_PCIE_96GBx8,NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama2-70b-99,Interactive,8,6262.63,782.829,available
ASUSTeK,ESC8000A_E13P_RTX_PRO_6000_PCIE_96GBx8,NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama2-70b-99,Interactive,8,6238.12,779.765,available
NVIDIA,NVIDIA GB300 NVL72 (72x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,llama2-70b-99,Offline,72,1.12685e+06,15650.7,available
Cisco,Cisco UCS C880A M8 (8x NVIDIA B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama2-70b-99,Offline,8,115730,14466.2,available
NVIDIA,NVIDIA DGX B300 (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama2-70b-99,Offline,8,112954,14119.2,available
ASUSTeK,XA NB3I-E12,NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama2-70b-99,Offline,8,109625,13703.1,available
GigaComputing,G894-SD3-AAX7,NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama2-70b-99,Offline,8,109343,13667.9,available
Dell,PowerEdge XE9780L (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama2-70b-99,Offline,8,108669,13583.6,available
HPE,HPE ProLiant Compute XD685 (8x NVIDIA B200 180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,llama2-70b-99,Offline,8,103954,12994.2,available
AMD,smci355-ccs-aus-m09-17 (AS -4126GS-NMR-LCC),AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99,Offline,8,103480,12935,available
Supermicro,SYS-822GS-NBRT (8x B200-SXM-180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,llama2-70b-99,Offline,8,101595,12699.4,available
Supermicro,QuantaGrid D74A-7U,AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99,Offline,8,100754,12594.2,available
GigaComputing,G893-ZX1-AAX4,AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99,Offline,8,100310,12538.8,available
HPE,HPE ProLiant Compute XD685 (8x AMD Instinct MI355X 288GB vLLM),AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99,Offline,8,100019,12502.4,available
Dell,PowerEdge XE9785L (8x MI355X),AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99,Offline,8,100008,12501,available
ORACLE,BM.GPU.MI355X.8,AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99,Offline,8,99874.3,12484.3,available
