chip,vendor,generation,generation_order,workload,scenario,per_accelerator,submissions,best_system_result,max_accelerators
NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama2-70b-99,Interactive,8840.54,2,70724.3,8
NVIDIA B200-SXM-180GB,NVIDIA,B200,2,llama2-70b-99,Interactive,7705.59,1,61644.7,8
AMD Instinct MI350X 288GB HBM3e,AMD,MI350X,3,llama2-70b-99,Interactive,6841.31,3,103633,16
NVIDIA H200-NVL-141GB,NVIDIA,H200,1,llama2-70b-99,Interactive,2042.97,1,16343.8,8
NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama2-70b-99,Interactive,782.829,2,6262.63,8
NVIDIA GB300,NVIDIA,GB300,5,llama2-70b-99,Offline,15650.7,1,1.12685e+06,72
NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama2-70b-99,Offline,14466.2,5,115730,8
NVIDIA B200-SXM-180GB,NVIDIA,B200,2,llama2-70b-99,Offline,12994.2,2,103954,8
AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99,Offline,12935,9,1.04211e+06,88
NVIDIA GB200,NVIDIA,GB200,3,llama2-70b-99,Offline,12334.1,1,888054,72
AMD Instinct MI350X 288GB HBM3e,AMD,MI350X,3,llama2-70b-99,Offline,10059.8,4,159932,16
AMD Instinct MI325X 256GB HBM3e,AMD,MI325X,2,llama2-70b-99,Offline,4235.05,1,33880.4,8
NVIDIA H200-NVL-141GB,NVIDIA,H200,1,llama2-70b-99,Offline,4000.5,1,32004,8
NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama2-70b-99,Offline,3738.55,11,36710.8,10
AMD Instinct MI300X 192GB HBM3,AMD,MI300X,1,llama2-70b-99,Offline,3449.84,2,27598.7,8
MS-Intel Arc Pro B60 Dual 48G Turbo,,,-1,llama2-70b-99,Offline,817.665,1,3270.66,4
Intel Arc Pro B70,,,-1,llama2-70b-99,Offline,614.795,1,2459.18,4
Intel Arc Pro B60,,,-1,llama2-70b-99,Offline,424.415,1,1697.66,4
NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama2-70b-99,Server,14313,5,114504,8
NVIDIA B200-SXM-180GB,NVIDIA,B200,2,llama2-70b-99,Server,12954.4,2,103635,8
AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99,Server,12535.3,9,1.01638e+06,88
NVIDIA GB300,NVIDIA,GB300,5,llama2-70b-99,Server,12059.4,1,868278,72
NVIDIA GB200,NVIDIA,GB200,3,llama2-70b-99,Server,11251.4,1,810104,72
AMD Instinct MI350X 288GB HBM3e,AMD,MI350X,3,llama2-70b-99,Server,9672.24,4,153022,16
AMD Instinct MI325X 256GB HBM3e,AMD,MI325X,2,llama2-70b-99,Server,3986.11,1,31888.9,8
NVIDIA H200-NVL-141GB,NVIDIA,H200,1,llama2-70b-99,Server,3635.61,1,29084.9,8
NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama2-70b-99,Server,3590.98,11,35590.8,10
AMD Instinct MI300X 192GB HBM3,AMD,MI300X,1,llama2-70b-99,Server,3182.89,2,25463.2,8
MS-Intel Arc Pro B60 Dual 48G Turbo,,,-1,llama2-70b-99,Server,549.875,1,2199.5,4
Intel Arc Pro B70,,,-1,llama2-70b-99,Server,424.642,1,1698.57,4
Intel Arc Pro B60,,,-1,llama2-70b-99,Server,276.565,1,1106.26,4
NVIDIA GB300,NVIDIA,GB300,5,llama2-70b-99.9,Interactive,11307.3,1,814128,72
NVIDIA GB200,NVIDIA,GB200,3,llama2-70b-99.9,Interactive,10484.1,1,754855,72
AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99.9,Interactive,9201.02,7,785522,88
NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama2-70b-99.9,Interactive,8840.54,2,70724.3,8
NVIDIA B200-SXM-180GB,NVIDIA,B200,2,llama2-70b-99.9,Interactive,7662.55,1,61300.4,8
AMD Instinct MI350X 288GB HBM3e,AMD,MI350X,3,llama2-70b-99.9,Interactive,6841.31,1,54730.5,8
NVIDIA H200-NVL-141GB,NVIDIA,H200,1,llama2-70b-99.9,Interactive,2042.97,1,16343.8,8
NVIDIA GB300,NVIDIA,GB300,5,llama2-70b-99.9,Offline,15650.7,1,1.12685e+06,72
NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama2-70b-99.9,Offline,14119.2,3,112954,8
NVIDIA B200-SXM-180GB,NVIDIA,B200,2,llama2-70b-99.9,Offline,13071.5,2,104572,8
AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99.9,Offline,12935,9,1.04211e+06,88
NVIDIA GB200,NVIDIA,GB200,3,llama2-70b-99.9,Offline,12334.1,1,888054,72
AMD Instinct MI350X 288GB HBM3e,AMD,MI350X,3,llama2-70b-99.9,Offline,9873.58,1,78988.6,8
AMD Instinct MI325X 256GB HBM3e,AMD,MI325X,2,llama2-70b-99.9,Offline,4235.05,1,33880.4,8
NVIDIA H200-NVL-141GB,NVIDIA,H200,1,llama2-70b-99.9,Offline,4000.5,1,32004,8
NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama2-70b-99.9,Offline,3737.51,7,36704.2,10
AMD Instinct MI300X 192GB HBM3,AMD,MI300X,1,llama2-70b-99.9,Offline,3449.84,2,27598.7,8
MS-Intel Arc Pro B60 Dual 48G Turbo,,,-1,llama2-70b-99.9,Offline,817.665,1,3270.66,4
Intel Arc Pro B70,,,-1,llama2-70b-99.9,Offline,614.795,1,2459.18,4
Intel Arc Pro B60,,,-1,llama2-70b-99.9,Offline,424.415,1,1697.66,4
NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama2-70b-99.9,Server,13549,3,108392,8
NVIDIA B200-SXM-180GB,NVIDIA,B200,2,llama2-70b-99.9,Server,12953.4,2,103627,8
AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99.9,Server,12535.3,9,1.01638e+06,88
NVIDIA GB300,NVIDIA,GB300,5,llama2-70b-99.9,Server,12059.4,1,868278,72
NVIDIA GB200,NVIDIA,GB200,3,llama2-70b-99.9,Server,11251.4,1,810104,72
AMD Instinct MI350X 288GB HBM3e,AMD,MI350X,3,llama2-70b-99.9,Server,9672.24,1,77377.9,8
AMD Instinct MI325X 256GB HBM3e,AMD,MI325X,2,llama2-70b-99.9,Server,3986.11,1,31888.9,8
NVIDIA H200-NVL-141GB,NVIDIA,H200,1,llama2-70b-99.9,Server,3635.61,1,29084.9,8
NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama2-70b-99.9,Server,3589.63,7,35522.3,10
AMD Instinct MI300X 192GB HBM3,AMD,MI300X,1,llama2-70b-99.9,Server,3182.89,2,25463.2,8
MS-Intel Arc Pro B60 Dual 48G Turbo,,,-1,llama2-70b-99.9,Server,549.875,1,2199.5,4
Intel Arc Pro B70,,,-1,llama2-70b-99.9,Server,424.642,1,1698.57,4
Intel Arc Pro B60,,,-1,llama2-70b-99.9,Server,276.565,1,1106.26,4
NVIDIA GB300,NVIDIA,GB300,5,llama3.1-405b,Interactive,255.075,1,18365.4,72
NVIDIA GB200,NVIDIA,GB200,3,llama3.1-405b,Interactive,194.585,1,14010.1,72
NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama3.1-405b,Interactive,95.5819,1,764.655,8
NVIDIA GB300,NVIDIA,GB300,5,llama3.1-405b,Offline,270.996,1,19511.7,72
NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama3.1-405b,Offline,246.389,4,1971.11,8
NVIDIA GB200,NVIDIA,GB200,3,llama3.1-405b,Offline,214.743,1,15461.5,72
NVIDIA B200-SXM-180GB,NVIDIA,B200,2,llama3.1-405b,Offline,168.78,1,1350.24,8
NVIDIA GB300,NVIDIA,GB300,5,llama3.1-405b,Server,258.717,1,18627.6,72
NVIDIA GB200,NVIDIA,GB200,3,llama3.1-405b,Server,196.304,1,14133.9,72
NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama3.1-405b,Server,185.55,4,1484.4,8
NVIDIA B200-SXM-180GB,NVIDIA,B200,2,llama3.1-405b,Server,122.953,1,983.626,8
NVIDIA B200-SXM-180GB,NVIDIA,B200,2,llama3.1-8b,Interactive,16093.8,2,128750,8
NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama3.1-8b,Interactive,16079.1,1,128633,8
NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Interactive,5510.91,7,53054.7,10
NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama3.1-8b,Offline,20843.1,3,166745,8
NVIDIA B200-SXM-180GB,NVIDIA,B200,2,llama3.1-8b,Offline,20050.4,2,160403,8
NVIDIA H200-NVL-141GB,NVIDIA,H200,1,llama3.1-8b,Offline,6649.2,2,53193.6,8
NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Offline,6247.6,10,60679.9,10
NVIDIA RTX PRO 4500 Blackwell,,,-1,llama3.1-8b,Offline,2340.75,2,11665,5
MS-Intel Arc Pro B60 Dual 48G Turbo,,,-1,llama3.1-8b,Offline,1690.58,1,6762.3,4
Intel Arc Pro B70,,,-1,llama3.1-8b,Offline,1154.35,1,4617.4,4
Intel Arc Pro B60,,,-1,llama3.1-8b,Offline,836.857,1,3347.43,4
Intel Arc Pro B50,,,-1,llama3.1-8b,Offline,430.46,1,1721.84,4
NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama3.1-8b,Server,18508.4,3,148067,8
NVIDIA B200-SXM-180GB,NVIDIA,B200,2,llama3.1-8b,Server,16408.8,2,131270,8
NVIDIA H200-NVL-141GB,NVIDIA,H200,1,llama3.1-8b,Server,6432.9,2,45075.8,8
NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Server,6099.29,10,59632.7,10
NVIDIA RTX PRO 4500 Blackwell,,,-1,llama3.1-8b,Server,2270.42,2,11352.1,5
MS-Intel Arc Pro B60 Dual 48G Turbo,,,-1,llama3.1-8b,Server,1573.47,1,6293.89,4
Intel Arc Pro B70,,,-1,llama3.1-8b,Server,1042.53,1,4170.13,4
Intel Arc Pro B60,,,-1,llama3.1-8b,Server,786.305,1,3145.22,4
Intel Arc Pro B50,,,-1,llama3.1-8b,Server,296.783,1,1187.13,4
NVIDIA B200-SXM-180GB,NVIDIA,B200,2,mixtral-8x7b,Offline,15808.5,1,126468,8
NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,mixtral-8x7b,Offline,4204.66,4,41242.4,10
NVIDIA B200-SXM-180GB,NVIDIA,B200,2,mixtral-8x7b,Server,15901.1,1,127209,8
NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,mixtral-8x7b,Server,4018.88,4,39234.1,10
